Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Price_Group,Year_Group
i10,2012,3.0999999046325684,4.599999904632568,35775,Petrol,Dealer,Manual,0,2-5,Antiguos (<2015)
elantra,2015,11.75,14.789999961853027,43535,Diesel,Dealer,Manual,0,10-20,Recientes (2015+)
creta,2016,11.25,13.600000381469727,22671,Petrol,Dealer,Manual,0,10-20,Recientes (2015+)
i20,2011,2.9000000953674316,6.789999961853027,31604,Petrol,Dealer,Manual,0,2-5,Antiguos (<2015)
grand i10,2017,5.25,5.699999809265137,20114,Petrol,Dealer,Manual,0,5-10,Recientes (2015+)
verna,2012,4.5,9.399999618530273,36100,Petrol,Dealer,Manual,0,2-5,Antiguos (<2015)
eon,2016,2.9000000953674316,4.429999828338623,12500,Petrol,Dealer,Manual,0,2-5,Recientes (2015+)
eon,2016,3.1500000953674316,4.429999828338623,15000,Petrol,Dealer,Manual,0,2-5,Recientes (2015+)
verna,2014,6.449999809265137,9.399999618530273,45078,Petrol,Dealer,Manual,0,5-10,Antiguos (<2015)
verna,2012,4.5,9.399999618530273,36000,Petrol,Dealer,Manual,0,2-5,Antiguos (<2015)
eon,2017,3.5,4.429999828338623,38488,Petrol,Dealer,Manual,0,2-5,Recientes (2015+)
i20,2013,4.5,6.789999961853027,32000,Petrol,Dealer,Automatic,0,2-5,Antiguos (<2015)
i20,2014,6.0,7.599999904632568,77632,Diesel,Dealer,Manual,0,5-10,Antiguos (<2015)
verna,2015,8.25,9.399999618530273,61381,Diesel,Dealer,Manual,0,5-10,Recientes (2015+)
verna,2013,5.110000133514404,9.399999618530273,36198,Petrol,Dealer,Automatic,0,5-10,Antiguos (<2015)
i10,2011,2.700000047683716,4.599999904632568,22517,Petrol,Dealer,Manual,0,2-5,Antiguos (<2015)
grand i10,2015,5.25,5.699999809265137,24678,Petrol,Dealer,Manual,0,5-10,Recientes (2015+)
i10,2011,2.549999952316284,4.429999828338623,57000,Petrol,Dealer,Manual,0,2-5,Antiguos (<2015)
verna,2012,4.949999809265137,9.399999618530273,60000,Diesel,Dealer,Manual,0,2-5,Antiguos (<2015)
i20,2012,3.0999999046325684,6.789999961853027,52132,Diesel,Dealer,Manual,0,2-5,Antiguos (<2015)
verna,2013,6.150000095367432,9.399999618530273,45000,Diesel,Dealer,Manual,0,5-10,Antiguos (<2015)
verna,2017,9.25,9.399999618530273,15001,Petrol,Dealer,Manual,0,5-10,Recientes (2015+)
elantra,2015,11.449999809265137,14.789999961853027,12900,Petrol,Dealer,Automatic,0,10-20,Recientes (2015+)
grand i10,2013,3.9000000953674316,5.699999809265137,53000,Diesel,Dealer,Manual,0,2-5,Antiguos (<2015)
grand i10,2015,5.5,5.699999809265137,4492,Petrol,Dealer,Manual,0,5-10,Recientes (2015+)
